project_id,name,status,repository_url,forge_kind,forge_host,clone_result,ref,commits,first_commit_at,last_commit_at,repo_bytes,duration_s,error
a1das,a1das,watchlist,https://github.com/coutanto/a1das,github,github.com,skipped,master,52,2020-06-26T17:56:17+02:00,2023-12-18T16:28:41+01:00,110435793,1.4,
alakoro-fibersense,Alakoro FiberSense,included,https://github.com/Colombiano/Alakoro_FiberSense,github,github.com,skipped,main,23,2026-07-11T18:26:42-03:00,2026-07-18T08:33:26-03:00,238467,0.0,
cqi-das,cqi_das,included,https://github.com/B-CSI/cqi_das,github,github.com,skipped,main,44,2024-06-25T20:42:02+02:00,2025-10-21T09:52:48+01:00,41332524,0.8,
darkfiber,darkfiber,included,https://github.com/Sirkraven/darkfiber,github,github.com,skipped,main,17,2026-07-14T21:01:24-03:00,2026-07-22T07:28:06-03:00,4932571,0.0,
das-anomaly,das-anomaly,included,https://github.com/DASDAE/das-anomaly,github,github.com,skipped,main,169,2024-07-02T18:33:27-06:00,2025-12-10T15:43:00-07:00,5954830,0.1,
das-cc-gpu,DAS_CC_GPU,included,https://github.com/zhichaoshen40/DAS_CC_GPU,github,github.com,skipped,main,7,2024-04-20T17:12:35-04:00,2024-08-08T11:51:13-04:00,1364067,0.1,
das-convert-mirror,das-convert (Gitea mirror),excluded,https://git.pyrocko.org/pyrocko/das-convert,gitea,git.pyrocko.org,failed,,,,,,133.0,fatal: unable to access 'https://git.pyrocko.org/pyrocko/das-convert/': Failed to connect to git.pyrocko.org port 443 after 132972 ms: Couldn't connect to server
das-datakit,das-datakit,excluded,https://github.com/genrobot-ai/das-datakit,github,github.com,skipped,main,42,2025-11-18T22:09:17+08:00,2026-07-06T18:05:17+08:00,182719,0.0,
das-levels,DAS_levels,included,https://github.com/DAS4Whales/DAS_levels,github,github.com,skipped,main,17,2025-03-04T10:59:20-05:00,2025-03-11T17:06:07-04:00,1572236,0.1,
das-metadata,DAS metadata tools,included,https://github.com/DAS-RCN/DAS_metadata,github,github.com,skipped,main,215,2022-08-24T09:47:50+10:00,2025-02-24T11:14:29+11:00,3605102,0.0,
das-n2n,DAS-N2N-torch,included,https://github.com/sachalapins/DAS-N2N-torch,github,github.com,skipped,main,32,2025-01-20T16:23:35+00:00,2026-03-27T10:57:26+00:00,9218984,0.1,
das-realtime,DAS-realtime,included,https://github.com/Caltech-DASHub/DAS-realtime,github,github.com,skipped,main,13,2024-07-11T13:09:10-07:00,2026-01-06T08:49:34-08:00,99557,0.0,
das-sensitivity,DAS_sensitivity,included,https://github.com/olfontai/DAS_sensitivity,github,github.com,skipped,main,30,2025-10-31T15:41:07+01:00,2026-04-30T22:12:36+02:00,6088259,0.1,
das-simulator,fiberoptics-das-simulator,included,https://github.com/equinor/fiberoptics-das-simulator,github,github.com,skipped,main,230,2020-11-13T09:11:46+01:00,2026-02-17T11:13:52+01:00,649345,0.0,
das-source-locator,DASSourceLocator,included,https://github.com/leabouffaut/DASSourceLocator,github,github.com,skipped,main,16,2024-11-21T11:57:08-05:00,2024-11-21T14:08:02-05:00,5945731,0.0,
das-to-store,das-to-store,included,https://github.com/jacobrdavis/das-to-store,github,github.com,skipped,main,15,2026-05-18T18:45:17-04:00,2026-06-10T13:40:01-04:00,66839,0.0,
das-toolkit,das-toolkit,included,https://github.com/RobbinLuo/das-toolkit,github,github.com,skipped,main,9,2022-10-17T03:12:40+00:00,2022-10-31T23:43:06+08:00,4757237,0.1,
das-tools-eth,DAS_Tools,included,https://github.com/afichtner/DAS_Tools,github,github.com,skipped,master,1,2022-10-04T12:01:05+02:00,2022-10-04T12:01:05+02:00,33580,0.0,
das-vessel-detection,das-vessel-detection,included,https://github.com/UAH-PSI/das-vessel-detection,github,github.com,skipped,main,66,2025-06-06T00:36:23+02:00,2026-08-03T17:08:36+02:00,12244838,0.0,
das4whales,DAS4Whales,included,https://github.com/DAS4Whales/DAS4Whales,github,github.com,skipped,main,619,2023-02-21T14:26:24-05:00,2026-08-20T10:05:43+02:00,71081571,1.1,
dascore,DASCore,included,https://github.com/DASDAE/dascore,github,github.com,skipped,master,530,2021-12-15T08:49:20-07:00,2026-08-21T13:34:41+02:00,17468168,0.3,
dascorepy,dascorepy,included,https://github.com/DASDAE/dascorepy,github,github.com,skipped,main,5,2026-05-08T11:22:18+02:00,2026-05-08T10:50:22+01:00,49018,0.0,
daseventnet,DASEventNet,included,https://github.com/Tieyuan/DASEventNet,github,github.com,skipped,main,4,2025-04-08T13:13:26-04:00,2025-04-08T13:18:02-04:00,171775,0.0,
dasexplorer,DASexplorer,included,https://github.com/sermomon/DASexplorer,github,github.com,skipped,main,115,2026-06-27T11:41:35+02:00,2026-07-15T11:21:55+02:00,129957080,0.5,
dasgauge,dasgauge,included,https://github.com/UWGeoD/dasgauge,github,github.com,skipped,main,7,2026-07-30T23:49:01-05:00,2026-08-22T01:23:00-05:00,147006,0.0,
dasio,dasio,included,https://github.com/jxli2a/dasio,github,github.com,skipped,main,58,2026-06-25T11:41:09-05:00,2026-08-09T08:01:43-05:00,300661,0.0,
dasjax,dasjax,included,https://github.com/DASDAE/dasjax,github,github.com,skipped,main,5,2026-04-11T22:18:27+02:00,2026-04-13T21:34:43+02:00,2758438,0.0,
daslab,DASLab,included,https://github.com/yohanesnuwara/DASLab,github,github.com,skipped,main,117,2021-05-09T12:00:01+07:00,2025-08-30T10:32:19+02:00,15205612,0.2,
dasmart-infra,DASmartInfra,included,https://github.com/Pengchao-He/DASmartInfra,github,github.com,skipped,main,2,2026-08-10T02:54:57-06:00,2026-08-10T12:19:30-06:00,57746,0.0,
dasmasw,dasmasw,excluded,https://github.com/DASDAE/dasmasw,github,github.com,skipped,master,2,2024-04-08T10:12:01-06:00,2024-04-08T10:14:51-06:00,30507,0.0,
dasmatrix,DASMatrix,included,https://github.com/QIanGua/DASMatrix,github,github.com,skipped,main,66,2025-04-12T09:12:46+08:00,2026-02-28T20:16:12+08:00,49550829,0.6,
daspack,DASPack,included,https://github.com/asleix/daspack,github,github.com,skipped,main,20,2025-07-11T17:03:07+02:00,2025-10-16T16:06:15+01:00,146084,0.0,
