project_id,language,lines
alakoro-fibersense,Jupyter,92
alakoro-fibersense,Python,1799
alakoro-fibersense,Shell,131
coherence-analysis,Jupyter,18368
coherence-analysis,Python,3897
cqi-das,Jupyter,1462
cqi-das,Python,3000
darkfiber,Python,6939
das-ancc,Python,1150
das-ani,Jupyter,1969
das-ani,Python,12914
das-ani,Shell,173
das-anomaly,Jupyter,1388
das-anomaly,Python,3522
das-anomaly,Shell,123
das-cc-gpu,C,3837
das-cc-gpu,CUDA,870
das-cc-gpu,Shell,5
das-datakit,Python,7518
das-datakit,Shell,35
das-dvv,Jupyter,11
das-dvv,Python,1476
das-events,Python,2004
das-flink,Java,10637
das-flink,Python,1021
das-flink,Shell,306
das-grad,Jupyter,947
das-grad,Python,4715
das-grad,Shell,60
das-levels,Python,840
das-n2n,Jupyter,108
das-n2n,Python,336
das-nidf,Python,2706
das-processing-pipeline,Python,9127
das-realtime,Python,1230
das-sensitivity,Jupyter,956
das-sensitivity,Python,1067
das-simulator,Java,8308
das-source-locator,Python,2559
das-to-store,Jupyter,131
das-to-store,Python,716
das-to-store,Shell,20
das-toolkit-filters,Jupyter,1497
das-toolkit-filters,Python,3305
das-toolkit,Jupyter,280
das-toolkit,Python,129
das-tools-eth,Python,745
das-vessel-detection,Python,10767
das-vessel-detection,Shell,90
das4whales,Python,14953
das4whales,Web,9
dascore,Jupyter,60
dascore,Python,63302
dascore,Shell,19
dascore,Web,311
dascorepy,Python,2039
daseventnet,Python,611
dasexplorer,Python,18409
dasexplorer,Web,6
dasgauge,Python,5858
dasio,C++,470
dasio,Python,10539
dasjax,Python,5833
daslab,Jupyter,2308
daslab,Python,2255
dasmart-infra,Python,87
dasmatrix,Jupyter,203
dasmatrix,Python,18864
daspack,Python,890
daspack,Rust,5625
daspy,Jupyter,54
daspy,Python,7188
dasstore,Jupyter,985
dasstore,Python,1184
dasstore,Shell,2
dastools,Python,11297
dasvader-ds,Julia,4695
dasvader,Julia,4712
derzug,Python,75342
derzug,Shell,26
distpy,Jupyter,398
distpy,Python,7202
dss-analyzer,Python,1569
dts-r,C++,469
dts-r,Python,465
dts-r,R,8520
dtscalibration,Jupyter,730
dtscalibration,Python,15491
eqnet,Jupyter,3511
eqnet,Python,17852
eqnet,Shell,34
eth-das-readers,Jupyter,941
eth-das-readers,Python,1979
farmdas,Jupyter,12873
farmdas,Python,990
febustools,Julia,353
fiber-strain-modeling,MATLAB,1800
fiberis,Jupyter,385
fiberis,Python,21180
fiberoptics-das-schemas,Java,117
fiberoptics-das-schemas,Shell,58
fiberwatch-cli,Jupyter,1016
fiberwatch-cli,Python,54041
filark,Python,6878
generic-cable,Jupyter,1762
generic-cable,Python,1159
gridded-slant-stack,MATLAB,447
idas-convert,Python,1247
idas-convert,Shell,32
intro-to-das,Jupyter,1326
invisensing,Python,2594
invisensing,Rust,898
jdas,Jupyter,346
jdas,Python,819
lightguide,Jupyter,165
lightguide,Python,1945
lightguide,Rust,405
mldas-upstream,Python,5567
mldas-upstream,Shell,1166
mldas,Python,5638
mldas,Shell,1165
multi-res-viewer,Jupyter,64
multi-res-viewer,Python,270
opendas-stream,Python,2400
optixutils,Python,2097
optodas-processor,Jupyter,407
optodas-processor,Python,3203
pyfocs,Jupyter,308
pyfocs,Python,5420
pyseafom,JavaScript,58
pyseafom,Jupyter,866
pyseafom,Python,4322
pyseafom,Web,378
pyseistr,C,14152
pyseistr,Python,12354
pyseistr,Shell,17
remi-das,Jupyter,392
remi-das,Python,546
rnn-das,Jupyter,150
rnn-das,Python,1836
seisbench,C,277
seisbench,Jupyter,3960
seisbench,Python,35815
sigrecover,MATLAB,1863
simpledas,Jupyter,124
simpledas,Python,1744
spool-processing,Jupyter,80
spool-processing,Python,284
swfscdas,R,6037
swpvpsekminv,MATLAB,1455
treble-sdk,Jupyter,193
treble-sdk,MATLAB,143
treble-sdk,Python,3766
unidas,Python,1426
xdas,Python,24958
xpick,Python,626
xpick,TypeScript,107
