project_id,capability,present,source
das-anomaly,anomaly-detection,True,curated
das-anomaly,machine-learning,True,curated
das-anomaly,processing,True,curated
das-metadata,interoperability,True,curated
das-metadata,metadata,True,curated
das-realtime,machine-learning,True,curated
das-realtime,phase-picking,True,curated
das-realtime,seismology,True,curated
das-realtime,streaming,True,curated
das4whales,bioacoustics,True,curated
das4whales,detection,True,curated
das4whales,io,True,curated
das4whales,processing,True,curated
das4whales,visualization,True,curated
dascore,data-management,True,curated
dascore,data-model,True,curated
dascore,io,True,curated
dascore,processing,True,curated
dascore,visualization,True,curated
dasexplorer,annotation,True,curated
dasexplorer,desktop-application,True,curated
dasexplorer,io,True,curated
dasexplorer,processing,True,curated
dasexplorer,visualization,True,curated
dasmasw,processing,True,curated
dasmasw,surface-waves,True,curated
dasmasw,visualization,True,curated
daspack,compression,True,curated
daspack,io,True,curated
daspack,streaming,True,curated
daspy,io,True,curated
daspy,processing,True,curated
daspy,seismology,True,curated
daspy,visualization,True,curated
dasstore,data-management,True,curated
dasstore,io,True,curated
dasstore,object-storage,True,curated
dasvader,io,True,curated
dasvader,processing,True,curated
dasvader,visualization,True,curated
distpy,parallel-computing,True,curated
distpy,pipelines,True,curated
distpy,processing,True,curated
distpy,visualization,True,curated
eqnet,detection,True,curated
eqnet,machine-learning,True,curated
eqnet,phase-picking,True,curated
eqnet,seismology,True,curated
generic-cable,inversion,True,curated
generic-cable,modeling,True,curated
idas-convert,conversion,True,curated
idas-convert,data-management,True,curated
idas-convert,io,True,curated
intro-to-das,education,True,curated
intro-to-das,io,True,curated
intro-to-das,visualization,True,curated
jdas,denoising,True,curated
jdas,machine-learning,True,curated
jdas,processing,True,curated
lightguide,denoising,True,curated
lightguide,io,True,curated
lightguide,modeling,True,curated
lightguide,processing,True,curated
lightguide,visualization,True,curated
mldas,detection,True,curated
mldas,machine-learning,True,curated
mldas,processing,True,curated
pyseafom,benchmarking,True,curated
pyseafom,interrogator-evaluation,True,curated
pyseafom,visualization,True,curated
remi-das,processing,True,curated
remi-das,surface-waves,True,curated
remi-das,visualization,True,curated
unidas,data-model,True,curated
unidas,interoperability,True,curated
xdas,data-management,True,curated
xdas,data-model,True,curated
xdas,io,True,curated
xdas,processing,True,curated
xdas,streaming,True,curated
xdas,visualization,True,curated
