project_id,package,dependency,requirement,marker,dependency_project_id,source_url,fetched_at
das4whales,das4whales,cmocean,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,dask,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,datetime,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,deprecation,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,h5py,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,librosa,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,matplotlib,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,netcdf4,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,nptdms,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,numpy,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,numpydoc,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,opencv-python,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,pandas,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,pyproj,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,pytest,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,scikit-image,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,scipy,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,sparse,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,tqdm,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,wget,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
das4whales,das4whales,xarray,,,,https://pypi.org/pypi/das4whales/json,2026-08-20T15:30:19+00:00
dascore,dascore,h5py,,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,matplotlib,>=3.10,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,numpy,>=1.24,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,packaging,,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,pandas,>=2.0,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,pint,,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,pooch,>=1.2,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,pydantic,>2.1,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,rich,,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,scipy,>=1.15,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,tables,>=3.7,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dascore,dascore,typing-extensions,>=4.12,,,https://pypi.org/pypi/dascore/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,das4whales,>=0.1,,das4whales,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,h5py,>=3.7,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,matplotlib,>=3.5,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,numpy,>=1.22,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,pillow,>=9.0,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,pyqt5,>=5.15,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,pyqtgraph,>=0.13,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,pyyaml,>=6.0,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
dasexplorer,dasexplorer,scipy,>=1.9,,,https://pypi.org/pypi/dasexplorer/json,2026-08-20T15:30:19+00:00
daspack,daspack-dev,numpy,>=1.24,,,https://pypi.org/pypi/daspack-dev/json,2026-08-20T15:30:19+00:00
