project_id,metric,value,unit,window_start,window_end,source_url,fetched_at,missing_reason
a1das,repo_stars,3,stars,,,https://api.github.com/repos/coutanto/a1das,2026-08-18T06:36:52+00:00,
a1das,repo_forks,1,forks,,,https://api.github.com/repos/coutanto/a1das,2026-08-18T06:36:52+00:00,
a1das,repo_contributors,1,contributors,,,https://api.github.com/repos/coutanto/a1das,2026-08-18T06:36:52+00:00,
a1das,repo_releases,0,releases,,,https://api.github.com/repos/coutanto/a1das,2026-08-18T06:36:52+00:00,
a1das,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:36:52+00:00,not_published
a1das,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:36:52+00:00,not_published
a1das,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:36:52+00:00,not_published
a1das,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:36:52+00:00,not_applicable
alakoro-fibersense,repo_stars,0,stars,,,https://api.github.com/repos/Colombiano/Alakoro_FiberSense,2026-08-18T06:36:54+00:00,
alakoro-fibersense,repo_forks,0,forks,,,https://api.github.com/repos/Colombiano/Alakoro_FiberSense,2026-08-18T06:36:54+00:00,
alakoro-fibersense,repo_contributors,1,contributors,,,https://api.github.com/repos/Colombiano/Alakoro_FiberSense,2026-08-18T06:36:54+00:00,
alakoro-fibersense,repo_releases,0,releases,,,https://api.github.com/repos/Colombiano/Alakoro_FiberSense,2026-08-18T06:36:54+00:00,
alakoro-fibersense,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:36:54+00:00,not_published
alakoro-fibersense,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:36:54+00:00,not_published
alakoro-fibersense,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:36:54+00:00,not_published
alakoro-fibersense,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:36:54+00:00,not_applicable
cqi-das,repo_stars,11,stars,,,https://api.github.com/repos/B-CSI/cqi_das,2026-08-18T06:36:56+00:00,
cqi-das,repo_forks,0,forks,,,https://api.github.com/repos/B-CSI/cqi_das,2026-08-18T06:36:56+00:00,
cqi-das,repo_contributors,2,contributors,,,https://api.github.com/repos/B-CSI/cqi_das,2026-08-18T06:36:56+00:00,
cqi-das,repo_releases,0,releases,,,https://api.github.com/repos/B-CSI/cqi_das,2026-08-18T06:36:56+00:00,
cqi-das,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:36:56+00:00,not_published
cqi-das,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:36:56+00:00,not_published
cqi-das,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:36:56+00:00,not_published
cqi-das,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:36:56+00:00,not_applicable
darkfiber,repo_stars,0,stars,,,https://api.github.com/repos/Sirkraven/darkfiber,2026-08-18T06:36:58+00:00,
darkfiber,repo_forks,0,forks,,,https://api.github.com/repos/Sirkraven/darkfiber,2026-08-18T06:36:58+00:00,
darkfiber,repo_contributors,1,contributors,,,https://api.github.com/repos/Sirkraven/darkfiber,2026-08-18T06:36:58+00:00,
darkfiber,repo_releases,2,releases,,,https://api.github.com/repos/Sirkraven/darkfiber,2026-08-18T06:36:58+00:00,
darkfiber,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:36:58+00:00,not_published
darkfiber,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:36:58+00:00,not_published
darkfiber,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:36:58+00:00,not_published
darkfiber,canonical_citations,0,citations,,2026-08-17,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.21383275,2026-08-17T18:08:30+00:00,
das-anomaly,repo_stars,28,stars,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-18T06:37:01+00:00,
das-anomaly,repo_forks,1,forks,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-18T06:37:01+00:00,
das-anomaly,repo_contributors,1,contributors,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-18T06:37:01+00:00,
das-anomaly,repo_releases,8,releases,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-18T06:37:01+00:00,
das-anomaly,pypi_downloads_30d,,downloads,,2026-08-17,https://pypi.org/pypi/das-anomaly/json,2026-08-17T18:48:11+00:00,not_published
das-anomaly,pypi_downloads_180d,,downloads,,,https://pypi.org/pypi/das-anomaly/json,2026-08-17T18:48:11+00:00,not_published
das-anomaly,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-17T18:48:11+00:00,not_published
das-anomaly,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:37:01+00:00,not_applicable
das-cc-gpu,repo_stars,10,stars,,,https://api.github.com/repos/zhichaoshen40/DAS_CC_GPU,2026-08-18T06:37:03+00:00,
das-cc-gpu,repo_forks,0,forks,,,https://api.github.com/repos/zhichaoshen40/DAS_CC_GPU,2026-08-18T06:37:03+00:00,
das-cc-gpu,repo_contributors,1,contributors,,,https://api.github.com/repos/zhichaoshen40/DAS_CC_GPU,2026-08-18T06:37:03+00:00,
das-cc-gpu,repo_releases,1,releases,,,https://api.github.com/repos/zhichaoshen40/DAS_CC_GPU,2026-08-18T06:37:03+00:00,
das-cc-gpu,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:37:03+00:00,not_published
das-cc-gpu,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:37:03+00:00,not_published
das-cc-gpu,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:37:03+00:00,not_published
das-cc-gpu,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:37:03+00:00,not_applicable
das-levels,repo_stars,3,stars,,,https://api.github.com/repos/DAS4Whales/DAS_levels,2026-08-18T06:37:05+00:00,
das-levels,repo_forks,0,forks,,,https://api.github.com/repos/DAS4Whales/DAS_levels,2026-08-18T06:37:05+00:00,
das-levels,repo_contributors,1,contributors,,,https://api.github.com/repos/DAS4Whales/DAS_levels,2026-08-18T06:37:05+00:00,
das-levels,repo_releases,1,releases,,,https://api.github.com/repos/DAS4Whales/DAS_levels,2026-08-18T06:37:05+00:00,
das-levels,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:37:05+00:00,not_published
das-levels,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:37:05+00:00,not_published
das-levels,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:37:05+00:00,not_published
das-levels,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:37:05+00:00,not_applicable
das-metadata,repo_stars,32,stars,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-18T06:37:08+00:00,
das-metadata,repo_forks,4,forks,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-18T06:37:08+00:00,
das-metadata,repo_contributors,1,contributors,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-18T06:37:08+00:00,
das-metadata,repo_releases,0,releases,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-18T06:37:08+00:00,
das-metadata,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:37:08+00:00,not_published
das-metadata,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:37:08+00:00,not_published
das-metadata,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:37:08+00:00,not_published
das-metadata,canonical_citations,13,citations,,2026-08-17,https://api.openalex.org/works/https://doi.org/10.1785/0220230325,2026-08-17T18:08:30+00:00,
das-n2n,repo_stars,17,stars,,,https://api.github.com/repos/sachalapins/DAS-N2N-torch,2026-08-18T06:37:10+00:00,
das-n2n,repo_forks,1,forks,,,https://api.github.com/repos/sachalapins/DAS-N2N-torch,2026-08-18T06:37:10+00:00,
das-n2n,repo_contributors,1,contributors,,,https://api.github.com/repos/sachalapins/DAS-N2N-torch,2026-08-18T06:37:10+00:00,
