project_id,doi,role,title,publication_year,work_type,cited_by_count,openalex_id,source_url,fetched_at,missing_reason
darkfiber,10.5281/zenodo.21383275,canonical,darkfiber: a physics-first coherence engine for Distributed Acoustic Sensing,2026,software,0,https://openalex.org/W7168365816,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.21383275,2026-08-17T18:08:30+00:00,
das-metadata,10.1785/0220230325,canonical,Toward a Metadata Standard for Distributed Acoustic Sensing (DAS) Data Collection,2024,article,13,https://openalex.org/W4391473295,https://api.openalex.org/works/https://doi.org/10.1785/0220230325,2026-08-17T18:08:30+00:00,
das4whales,10.5281/zenodo.7760187,canonical,DAS4Whales: A Python package to analyze Distributed Acoustic Sensing (DAS) data for marine bioacoustics,2023,software-paper,1,https://openalex.org/W6969143839,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.7760187,2026-08-17T18:08:30+00:00,
dascore,10.26443/seismica.v3i2.1184,canonical,DASCore: a Python Library for Distributed Fiber Optic Sensing,2024,article,17,https://openalex.org/W4401118541,https://api.openalex.org/works/https://doi.org/10.26443/seismica.v3i2.1184,2026-08-17T18:08:30+00:00,
daslab,10.5281/zenodo.5797215,canonical,DASLab: Distributed Acoustic Sensing Lab,2021,software,1,https://openalex.org/W6912467104,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.5797215,2026-08-17T18:08:31+00:00,
daspack,10.1093/gji/ggaf397,canonical,DASPack: controlled data compression for distributed acoustic sensing,2025,article,8,https://openalex.org/W4415077751,https://api.openalex.org/works/https://doi.org/10.1093/gji/ggaf397,2026-08-17T18:08:31+00:00,
daspy,10.1785/0220240124,canonical,DASPy: A Python Toolbox for DAS Seismology,2024,article,19,https://openalex.org/W4401026569,https://api.openalex.org/works/https://doi.org/10.1785/0220240124,2026-08-17T18:08:31+00:00,
dasstore,10.5281/zenodo.10714765,canonical,niyiyu/DASstore: v0.2.1,2024,software,1,https://openalex.org/W6929877581,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.10714765,2026-08-17T18:08:31+00:00,
lightguide,10.5281/zenodo.6580579,canonical,Lightguide - Seismological Tools for DAS data,2022,software,2,https://openalex.org/W6931850059,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.6580579,2026-08-17T18:08:31+00:00,
rnn-das,10.1029/2025jb031756,canonical,RNN‐DAS: A New Deep Learning Approach for Detection and Real‐Time Monitoring of Volcano‐Tectonic Events Using Distributed Acoustic Sensing,2025,article,5,https://openalex.org/W4414124879,https://api.openalex.org/works/https://doi.org/10.1029/2025jb031756,2026-08-17T18:08:31+00:00,
xdas,10.1785/0220240366,canonical,Xdas: A Python Framework for Distributed Acoustic Sensing,2025,article,6,https://openalex.org/W4410303049,https://api.openalex.org/works/https://doi.org/10.1785/0220240366,2026-08-17T18:08:32+00:00,
xpick,10.5281/zenodo.10678341,canonical,xdas-dev/xpick: 0.1.0b1,2024,software,0,https://openalex.org/W6911429201,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.10678341,2026-08-17T18:08:32+00:00,
