id,name,repository,repository_url,forge_kind,forge_host,owner,homepage,description,status,decision_reason,primary_category,capabilities,das_focus,license_spdx,license_class,pypi,conda,julia,canonical_doi,reviewed_at,mirror_result,mirror_error,git_ref,commits,merges,first_commit_at,last_commit_at,authors,insertions,deletions,lines_total,lines_by_language,primary_language,stars,forks,contributors,contributors_basis,releases,created_at,pushed_at,forge_last_commit_at,latest_release_at,archived,visibility,language,has_docs,has_tests,has_ci,license_detected,pypi_downloads_30d,pypi_downloads_180d,conda_downloads_total,dependencies,practices,citations_total,canonical_citations,mirror_missing,git_missing,forge_missing,registry_missing,publications_missing,practices_missing,mirror_scanned_at,git_scanned_at,forge_scanned_at,registry_scanned_at,publications_scanned_at,practices_scanned_at
a1das,a1das,coutanto/a1das,https://github.com/coutanto/a1das,github,github.com,coutanto,,Python reader and processing routines for Febus Optics DAS data.,watchlist,"The default branch publishes a README and no source, so there is nothing to reuse or review; the code described in it is not in the repository.",data-management,conversion;io;processing,das-native,,unlicensed,,,,,2026-08-28,unchanged,,master,52,0,2020-06-26T17:56:17+02:00,2023-12-18T16:28:41+01:00,1,35216,35214,,,,3,1,1,"linked accounts, bots removed",0,2020-06-26T15:58:03Z,2023-12-18T15:28:41Z,2023-12-18T15:28:41Z,,False,public,,False,False,False,,,,,,readme=True;license_file=False;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,lines=not_published,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:52+00:00,2026-08-28T12:54:39+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:53+00:00,2026-08-28T19:47:27+00:00
alakoro-fibersense,Alakoro FiberSense,Colombiano/Alakoro_FiberSense,https://github.com/Colombiano/Alakoro_FiberSense,github,github.com,Colombiano,,Multi-modal DFOS processing and simulation platform for oil and gas wells.,included,"Reusable DFOS platform with an MIT license, packaging, and documentation. The README advertises a PyPI release that does not resolve, so no registry name is declared.",application-domain,io;modeling;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,23,0,2026-07-11T18:26:42-03:00,2026-07-18T08:33:26-03:00,2,18019,13736,2022,Jupyter=92;Python=1799;Shell=131,Python,0,0,1,"linked accounts, bots removed",0,2026-07-11T21:26:42Z,2026-07-18T11:43:15Z,2026-07-18T11:33:26Z,,False,public,Python,True,True,True,NOASSERTION,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=True;changelog=True;contributing=True;lint=True;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:52+00:00,2026-08-28T12:54:42+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:53+00:00,2026-08-28T19:47:27+00:00
coherence-analysis,Coherence Analysis,aissah/coherence-analysis,https://github.com/aissah/coherence-analysis,github,github.com,aissah,,Coherence matrix analysis of DAS data with exact and approximate solvers.,included,"Reusable MIT-licensed package built on DASCore, implementing exact, QR, SVD, and randomized-SVD coherence. Catalogued in place of aissah/coherence_analysis_histroy, which its own README designates the heavy-history copy.",processing,processing;quality-control;seismology,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,31,1,2026-01-18T10:44:02-07:00,2026-02-03T12:44:14-07:00,1,38079,2740,22265,Jupyter=18368;Python=3897,Jupyter,1,0,1,"linked accounts, bots removed",1,2026-01-18T17:42:04Z,2026-02-03T19:44:20Z,2026-02-03T19:44:14Z,2026-01-28T23:53:25Z,False,public,Jupyter Notebook,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=True;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:52+00:00,2026-08-28T12:54:44+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:53+00:00,2026-08-28T19:47:27+00:00
cqi-das,cqi_das,B-CSI/cqi_das,https://github.com/B-CSI/cqi_das,github,github.com,B-CSI,,Automatic channel-quality scoring for distributed acoustic sensing arrays.,included,Reusable DAS-specific quality-assessment package explicitly licensed under LGPL-3.0.,processing,machine-learning;processing;quality-control,das-native,LGPL-3.0-only,osi-approved,,,,,2026-08-28,unchanged,,main,44,0,2024-06-25T20:42:02+02:00,2025-10-21T09:52:48+01:00,2,30051,22509,4462,Jupyter=1462;Python=3000,Python,11,0,2,"linked accounts, bots removed",0,2025-01-15T21:12:38Z,2025-10-21T08:52:50Z,2025-10-21T08:52:48Z,,False,public,Jupyter Notebook,False,False,False,LGPL-3.0,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:53+00:00,2026-08-28T12:54:46+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:53+00:00,2026-08-28T19:47:27+00:00
darkfiber,darkfiber,Sirkraven/darkfiber,https://github.com/Sirkraven/darkfiber,github,github.com,Sirkraven,,Slowness-based coherence engine producing auditable DAS event verdicts.,included,"Reusable DAS-specific detection engine under AGPL-3.0-or-later with tests, CI, and an archived release.",processing,detection;processing;seismology,das-native,AGPL-3.0-or-later,osi-approved,,,,10.5281/zenodo.21383275,2026-08-28,unchanged,,main,17,2,2026-07-14T21:01:24-03:00,2026-07-22T07:28:06-03:00,2,15709,463,6939,Python=6939,Python,0,0,1,"linked accounts, bots removed",2,2026-07-15T12:57:53Z,2026-08-07T12:22:11Z,2026-07-22T10:28:06Z,2026-07-20T12:30:34Z,False,public,Python,True,True,True,AGPL-3.0,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=False;changelog=True;contributing=True;lint=True;typed=True,0,0,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:53+00:00,2026-08-28T12:54:48+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-ancc,das-ancc,yjianggeo/das-ancc,https://github.com/yjianggeo/das-ancc,github,github.com,yjianggeo,,Ambient-noise cross-correlation tomography for DAS SAC data.,included,"Reusable package with tests, documentation, and a documented SAC-to-tomography pipeline over 19 commits. No licence file is published, which grants no reuse rights and is recorded rather than treated as disqualifying.",processing,inversion;processing;seismology;surface-waves,das-native,,unlicensed,,,,,2026-08-28,unchanged,,master,19,0,2026-05-28T17:38:06+08:00,2026-06-13T21:22:51+08:00,1,3774,167,1150,Python=1150,Python,0,0,1,"linked accounts, bots removed",0,2026-05-28T13:48:38Z,2026-06-13T13:22:55Z,2026-06-13T13:22:51Z,,False,public,Python,True,True,False,,,,,,readme=True;license_file=False;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:53+00:00,2026-08-28T12:54:50+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-ani,DAS-ANI,Benz-Poobua/das_ani,https://github.com/Benz-Poobua/das_ani,github,github.com,Benz-Poobua,,Configuration-driven DAS preprocessing and ambient-noise interferometry framework.,included,"Reusable MIT-licensed framework with a src layout, tests, and selectable numpy, hybrid, and GPU backends for noise cross-correlation and stacking.",processing,parallel-computing;pipelines;processing;seismology,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,125,1,2025-11-19T00:36:17-08:00,2026-06-30T20:29:51-07:00,1,1822868,1669978,15056,Jupyter=1969;Python=12914;Shell=173,Python,1,1,1,"linked accounts, bots removed",0,2025-11-19T08:36:16Z,2026-07-01T03:29:59Z,2026-07-01T03:29:51Z,,False,public,Jupyter Notebook,False,True,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=True;typed=True,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:57+00:00,2026-08-28T12:54:52+00:00,2026-08-28T15:03:51+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-anomaly,das-anomaly,DASDAE/das-anomaly,https://github.com/DASDAE/das-anomaly,github,github.com,DASDAE,,Anomaly-detection methods and workflows for DAS datasets.,included,Reusable DAS-specific package explicitly licensed under LGPL-3.0.,machine-learning-detection,anomaly-detection;machine-learning;processing,das-native,LGPL-3.0-only,osi-approved,das-anomaly,,,,2026-08-28,unchanged,,main,169,19,2024-07-02T18:33:27-06:00,2025-12-10T15:43:00-07:00,1,13490,6915,5033,Jupyter=1388;Python=3522;Shell=123,Python,29,1,1,"linked accounts, bots removed",8,2024-07-03T00:33:26Z,2025-12-10T22:43:06Z,2025-12-10T22:43:00Z,2025-12-09T18:23:42Z,False,public,Python,True,True,True,NOASSERTION,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=True;docs=False;examples=True;changelog=False;contributing=False;lint=True;typed=False,,,,,,pypi_downloads_30d=not_published;pypi_downloads_180d=not_published;conda_downloads_total=not_applicable;dependencies=not_published,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:57+00:00,2026-08-28T12:54:54+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-cc-gpu,DAS_CC_GPU,zhichaoshen40/DAS_CC_GPU,https://github.com/zhichaoshen40/DAS_CC_GPU,github,github.com,zhichaoshen40,,GPU cross-correlation and preprocessing programs for DAS ambient-noise workflows.,included,Reusable DAS-specific command-line toolchain in C and CUDA under GPL-3.0.,processing,parallel-computing;processing;seismology,das-native,GPL-3.0-only,osi-approved,,,,,2026-08-28,unchanged,,main,7,0,2024-04-20T17:12:35-04:00,2024-08-08T11:51:13-04:00,1,338144,2,4712,C=3837;CUDA=870;Shell=5,C,10,0,1,"linked accounts, bots removed",1,2024-04-20T21:12:35Z,2024-08-08T15:51:13Z,2024-08-08T15:51:13Z,2024-07-02T02:58:04Z,False,public,C,False,False,False,GPL-3.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:50:40+00:00,2026-08-28T15:03:57+00:00,2026-08-28T12:54:56+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-convert-mirror,das-convert (Gitea mirror),pyrocko/das-convert,https://git.pyrocko.org/pyrocko/das-convert,gitea,git.pyrocko.org,pyrocko,,Gitea-hosted copy of the Pyrocko DAS conversion tool.,excluded,Duplicate. This mirrors the already catalogued pyrocko/idas-convert and last moved in step with it.,out-of-scope,conversion;io,das-native,GPL-3.0-only,osi-approved,,,,,2026-08-28,failed,fatal: unable to access 'https://git.pyrocko.org/pyrocko/das-convert/': Failed to connect to git.pyrocko.org port 443 after 135033 ms: Couldn't connect to server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mirror=fetch_error,git=unavailable,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,practices=unavailable,2026-08-28T14:52:55+00:00,2026-08-28T15:03:57+00:00,,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
